Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FS","Suite of Food Security Indicators","558","Nicaragua","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2022","2022","Int$/cap","7032","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","562","Niger","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2022","2022","Int$/cap","1652.7","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","566","Nigeria","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2022","2022","Int$/cap","5670","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","807","North Macedonia","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2022","2022","Int$/cap","20403.3","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","578","Norway","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2022","2022","Int$/cap","88712","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","512","Oman","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2022","2022","Int$/cap","40114","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","586","Pakistan","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2022","2022","Int$/cap","5706.9","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","275","Palestine","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2022","2022","Int$/cap","5744.8","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","591","Panama","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2022","2022","Int$/cap","33790.4","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","598","Papua New Guinea","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2022","2022","Int$/cap","4141.2","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","600","Paraguay","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2022","2022","Int$/cap","15198.2","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","604","Peru","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2022","2022","Int$/cap","15102.6","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","608","Philippines","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2022","2022","Int$/cap","9325.7","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","616","Poland","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2022","2022","Int$/cap","43661.5","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","620","Portugal","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2022","2022","Int$/cap","41240.4","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","630","Puerto Rico","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2022","2022","Int$/cap","42432.1","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","634","Qatar","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2022","2022","Int$/cap","113157","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","410","Republic of Korea","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2022","2022","Int$/cap","49977","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","498","Republic of Moldova","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2022","2022","Int$/cap","15229.5","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","642","Romania","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2022","2022","Int$/cap","39872.5","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","643","Russian Federation","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2022","2022","Int$/cap","38128.7","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","646","Rwanda","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2022","2022","Int$/cap","2859.8","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","659","Saint Kitts and Nevis","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2022","2022","Int$/cap","28725.5","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","662","Saint Lucia","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2022","2022","Int$/cap","23075.2","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","670","Saint Vincent and the Grenadines","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2022","2022","Int$/cap","16504","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","882","Samoa","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2022","2022","Int$/cap","5689","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","678","Sao Tome and Principe","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2022","2022","Int$/cap","5599.7","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","682","Saudi Arabia","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2022","2022","Int$/cap","51246.4","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","686","Senegal","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2022","2022","Int$/cap","4330.6","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","688","Serbia","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2022","2022","Int$/cap","23741.2","X","Figure from international organizations",""
